Areal,Name
28,sup_frontal_a
102,sup_frontal_b
46,sup_frontal_c
37,sup_frontal_d
69,inf_frontal_a
54,inf_frontal_b
15,inf_frontal_c
82,precentral_a
5,precentral_b
19,s_central_a
1,s_central_b
16,s_central_c
35,postcentral_a
27,postcentral_b
77,postcentral_c
44,intraparietal_a
14,intraparietal_b
42,intraparietal_c
106,sup_temporal_a
26,sup_temporal_b
34,sup_temporal_c
23,sup_temporal_d
61,inf_temporal_a
48,inf_temporal_b
59,inf_temporal_c
40,inf_temporal_d
17,occipito_temporal_a
74,occipito_temporal_b
178,occipito_temporal_c
47,collateral_a
8,collateral_b
81,collateral_c
12,collateral_d
13,calcarine_a
41,calcarine_b
21,calcarine_c
52,cingulate_a
98,cingulate_b
62,cingulate_c
134,cingulate_d
4,cingulate_e
25,cingulate_f
